,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
5eba42b80923c58fcff13738,"[-1589674843, -1589624036, -1, 0.6200000000000001, 116, 7, 1, -2.569999999999993, -4.550000000000011, -0.660000000000025, 0, 0, 0, 0, 421156]","[-1589674843, -1589624036, 26, 1.3599999999999999, 129, 5, 0, -1.9399999999999977, -3.920000000000016, -0.03000000000002956, 1, 1, 2, 1, 410357]","[-1589674843, -1589624036, 26, 1.3599999999999999, 129, 5, 0, -1.9399999999999977, -3.920000000000016, -0.03000000000002956, 1, 1, 2, 1, 399563]","[-1589674843, -1589624036, -1, 1.2000000000000002, 120, 3, 0, -2.17999999999995, -4.159999999999968, -0.2699999999999818, 0, 0, 0, 0, 388757]","[-1589674843, -1589624036, -1, 1.2000000000000002, 120, 3, 0, -2.17999999999995, -4.159999999999968, -0.2699999999999818, 0, 0, 0, 0, 377956]","[-1589674843, -1589624036, 71, -0.029999999999999805, 130, 5, -1, -1.579999999999984, -3.5600000000000023, 0.3299999999999841, 1, 1, 3, 1, 367156]","[-1589674843, -1589624036, 71, -0.029999999999999805, 130, 5, -1, -1.579999999999984, -3.5600000000000023, 0.3299999999999841, 1, 1, 3, 1, 356357]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -2.1999999999999886, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 354661]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -2.1999999999999886, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 345557]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -2.1999999999999886, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 334757]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -1.1599999999999682, -3.1399999999999864, 0.75, 1, 1, 3, 1, 323956]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -1.1599999999999682, -3.1399999999999864, 0.75, 1, 1, 3, 1, 317176]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -1.1599999999999682, -3.1399999999999864, 0.75, 1, 1, 3, 1, 313577]","[-1589674843, -1589624036, 82, -0.7999999999999998, 106, 8, -2, -1.3599999999999568, -3.339999999999975, 0.5500000000000114, 1, 1, -300, 1, 302356]","[-1589674843, -1589624036, 82, -0.7999999999999998, 106, 8, -2, -1.3599999999999568, -3.339999999999975, 0.5500000000000114, 1, 1, -300, 1, 291556]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.599999999999966, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 282135]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.599999999999966, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 280756]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.599999999999966, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 278955]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.599999999999966, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 275353]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.599999999999966, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 272012]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.599999999999966, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 269957]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.6499999999999773, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 268154]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.6499999999999773, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 264555]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.6499999999999773, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 260954]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.6499999999999773, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 259157]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.6499999999999773, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 257355]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.6499999999999773, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 253755]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.6499999999999773, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 250155]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.6499999999999773, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 248356]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.6499999999999773, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 246555]","[-1589674843, -1589624036, 13, -0.5499999999999998, 89, -2, -1, -1.3899999999999864, -3.3700000000000045, 0.5199999999999818, 1, 1, 1, 1, 242967]","[-1589674843, -1589624036, 13, -0.5499999999999998, 89, -2, -1, -1.3899999999999864, -3.3700000000000045, 0.5199999999999818, 1, 1, 1, 1, 237554]","[-1589674843, -1589624036, 28, -0.8299999999999998, 172, 9, 0, -1.92999999999995, -3.909999999999968, -0.01999999999998181, 1, 1, 2, 1, 140370]","[-1589674843, -1589624036, 21, 0.010000000000000231, 125, 10, 0, -1.6399999999999864, -3.6200000000000045, 0.2699999999999818, 1, 1, 1, 1, 118755]","[-1589674843, -1589624036, 26, -1.1199999999999999, 131, 10, 1, -1.669999999999959, -3.6499999999999773, 0.2400000000000091, 1, 1, 2, 1, 107955]","[-1589674843, -1589624036, 26, -1.1199999999999999, 131, 10, 1, -1.669999999999959, -3.6499999999999773, 0.2400000000000091, 1, 1, 2, 1, 97152]","[-1589674843, -1589624036, 0, -1.0, 67, 11, 1, -2.0599999999999454, -4.039999999999964, -0.14999999999997726, 0, 0, 0, 0, 86355]","[-1589674843, -1589624036, 0, -1.0, 67, 11, 1, -2.0599999999999454, -4.039999999999964, -0.14999999999997726, 0, 0, 0, 0, 75555]","[-1589674843, -1589624036, 1, -1.6099999999999999, 39, 11, 1, -2.2299999999999613, -4.2099999999999795, -0.3199999999999932, 0, 0, 0, 0, 64755]","[-1589674843, -1589624036, 32, -1.5899999999999999, 75, 10, 1, -0.9599999999999795, -2.9399999999999977, 0.14999999999997726, 1, 1, 2, 1, 21555]","[-1589674843, -1589624036, 27, -1.5899999999999999, 75, 4, 1, -0.1099999999999568, -2.089999999999975, 0.14999999999997726, 1, 1, 2, 1, 10755]","[-1589674843, -1589624036, 19, 0.08999999999999986, 3, 6, 0, -0.5399999999999636, -2.519999999999982, 0.8100000000000023, 1, 1, 1, 1, -45]"
5eba42b80923c58fcff13739,"[-1589674843, -1589624036, -1, 0.6200000000000001, 116, 7, 1, -2.3000000000000114, -4.550000000000011, -0.660000000000025, 0, 0, 0, 0, 421200]","[-1589674843, -1589624036, 26, 1.3599999999999999, 129, 5, 0, -1.670000000000016, -3.920000000000016, -0.03000000000002956, 1, 1, 2, 1, 410401]","[-1589674843, -1589624036, 26, 1.3599999999999999, 129, 5, 0, -1.670000000000016, -3.920000000000016, -0.03000000000002956, 1, 1, 2, 1, 399601]","[-1589674843, -1589624036, -1, 1.2000000000000002, 120, 3, 0, -1.9099999999999682, -4.159999999999968, -0.2699999999999818, 0, 0, 0, 0, 388800]","[-1589674843, -1589624036, -1, 1.2000000000000002, 120, 3, 0, -1.9099999999999682, -4.159999999999968, -0.2699999999999818, 0, 0, 0, 0, 378000]","[-1589674843, -1589624036, 71, -0.029999999999999805, 130, 5, -1, -1.3100000000000023, -3.5600000000000023, 0.3299999999999841, 1, 1, 3, 1, 367200]","[-1589674843, -1589624036, 71, -0.029999999999999805, 130, 5, -1, -1.3100000000000023, -3.5600000000000023, 0.3299999999999841, 1, 1, 3, 1, 356401]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -1.9300000000000068, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 354704]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -1.9300000000000068, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 345600]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -1.9300000000000068, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 334800]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -0.8899999999999864, -3.1399999999999864, 0.75, 1, 1, 3, 1, 324000]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -0.8899999999999864, -3.1399999999999864, 0.75, 1, 1, 3, 1, 317220]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -0.8899999999999864, -3.1399999999999864, 0.75, 1, 1, 3, 1, 313621]","[-1589674843, -1589624036, 82, -0.7999999999999998, 106, 8, -2, -1.089999999999975, -3.339999999999975, 0.5500000000000114, 1, 1, -300, 1, 302400]","[-1589674843, -1589624036, 82, -0.7999999999999998, 106, 8, -2, -1.089999999999975, -3.339999999999975, 0.5500000000000114, 1, 1, -300, 1, 291600]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 282179]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 280800]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 278999]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 275397]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 272056]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 270000]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 268197]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 264598]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 260998]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 259200]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 257399]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 253799]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 250198]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 248400]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 246598]","[-1589674843, -1589624036, 13, -0.5499999999999998, 89, -2, -1, -1.1200000000000045, -3.3700000000000045, 0.5199999999999818, 1, 1, 1, 1, 242999]","[-1589674843, -1589624036, 13, -0.5499999999999998, 89, -2, -1, -1.1200000000000045, -3.3700000000000045, 0.5199999999999818, 1, 1, 1, 1, 237598]","[-1589674843, -1589624036, 28, -0.8299999999999998, 172, 9, 0, -1.6599999999999682, -3.909999999999968, -0.01999999999998181, 1, 1, 2, 1, 140399]","[-1589674843, -1589624036, 21, 0.010000000000000231, 125, 10, 0, -1.3700000000000045, -3.6200000000000045, 0.2699999999999818, 1, 1, 1, 1, 118799]","[-1589674843, -1589624036, 26, -1.1199999999999999, 131, 10, 1, -1.3999999999999773, -3.6499999999999773, 0.2400000000000091, 1, 1, 2, 1, 107999]","[-1589674843, -1589624036, 26, -1.1199999999999999, 131, 10, 1, -1.3999999999999773, -3.6499999999999773, 0.2400000000000091, 1, 1, 2, 1, 97196]","[-1589674843, -1589624036, 0, -1.0, 67, 11, 1, -1.7899999999999636, -4.039999999999964, -0.14999999999997726, 0, 0, 0, 0, 86398]","[-1589674843, -1589624036, 0, -1.0, 67, 11, 1, -1.7899999999999636, -4.039999999999964, -0.14999999999997726, 0, 0, 0, 0, 75599]","[-1589674843, -1589624036, 1, -1.6099999999999999, 39, 11, 1, -1.9599999999999795, -4.2099999999999795, -0.3199999999999932, 0, 0, 0, 0, 64799]","[-1589674843, -1589624036, 32, -1.5899999999999999, 75, 10, 1, -0.6899999999999977, -2.9399999999999977, 0.14999999999997726, 1, 1, 2, 1, 21599]","[-1589674843, -1589624036, 27, -1.5899999999999999, 75, 4, 1, 0.160000000000025, -2.089999999999975, 0.14999999999997726, 1, 1, 2, 1, 10799]","[-1589674843, -1589624036, 19, 0.08999999999999986, 3, 6, 0, -0.2699999999999818, -2.519999999999982, 0.8100000000000023, 1, 1, 1, 1, -1]"
5eba42b80923c58fcff1373a,"[-1589674843, -1589624036, -1, 0.6200000000000001, 116, 7, 1, -2.3000000000000114, -4.550000000000011, -0.660000000000025, 0, 0, 0, 0, 421200]","[-1589674843, -1589624036, 26, 1.3599999999999999, 129, 5, 0, -1.670000000000016, -3.920000000000016, -0.03000000000002956, 1, 1, 2, 1, 410400]","[-1589674843, -1589624036, 26, 1.3599999999999999, 129, 5, 0, -1.670000000000016, -3.920000000000016, -0.03000000000002956, 1, 1, 2, 1, 399600]","[-1589674843, -1589624036, -1, 1.2000000000000002, 120, 3, 0, -1.9099999999999682, -4.159999999999968, -0.2699999999999818, 0, 0, 0, 0, 388800]","[-1589674843, -1589624036, -1, 1.2000000000000002, 120, 3, 0, -1.9099999999999682, -4.159999999999968, -0.2699999999999818, 0, 0, 0, 0, 378000]","[-1589674843, -1589624036, 71, -0.029999999999999805, 130, 5, -1, -1.3100000000000023, -3.5600000000000023, 0.3299999999999841, 1, 1, 3, 1, 367200]","[-1589674843, -1589624036, 71, -0.029999999999999805, 130, 5, -1, -1.3100000000000023, -3.5600000000000023, 0.3299999999999841, 1, 1, 3, 1, 356401]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -1.9300000000000068, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 354704]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -1.9300000000000068, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 345600]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -1.9300000000000068, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 334800]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -0.8899999999999864, -3.1399999999999864, 0.75, 1, 1, 3, 1, 323999]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -0.8899999999999864, -3.1399999999999864, 0.75, 1, 1, 3, 1, 317220]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -0.8899999999999864, -3.1399999999999864, 0.75, 1, 1, 3, 1, 313620]","[-1589674843, -1589624036, 82, -0.7999999999999998, 106, 8, -2, -1.089999999999975, -3.339999999999975, 0.5500000000000114, 1, 1, -300, 1, 302400]","[-1589674843, -1589624036, 82, -0.7999999999999998, 106, 8, -2, -1.089999999999975, -3.339999999999975, 0.5500000000000114, 1, 1, -300, 1, 291600]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 282178]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 280800]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 278998]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 275397]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 272056]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 270000]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 268196]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 264598]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 260998]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 259200]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 257398]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 253798]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 250198]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 248400]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 246598]","[-1589674843, -1589624036, 13, -0.5499999999999998, 89, -2, -1, -1.1200000000000045, -3.3700000000000045, 0.5199999999999818, 1, 1, 1, 1, 242999]","[-1589674843, -1589624036, 13, -0.5499999999999998, 89, -2, -1, -1.1200000000000045, -3.3700000000000045, 0.5199999999999818, 1, 1, 1, 1, 237598]","[-1589674843, -1589624036, 28, -0.8299999999999998, 172, 9, 0, -1.6599999999999682, -3.909999999999968, -0.01999999999998181, 1, 1, 2, 1, 140399]","[-1589674843, -1589624036, 21, 0.010000000000000231, 125, 10, 0, -1.3700000000000045, -3.6200000000000045, 0.2699999999999818, 1, 1, 1, 1, 118798]","[-1589674843, -1589624036, 26, -1.1199999999999999, 131, 10, 1, -1.3999999999999773, -3.6499999999999773, 0.2400000000000091, 1, 1, 2, 1, 107999]","[-1589674843, -1589624036, 26, -1.1199999999999999, 131, 10, 1, -1.3999999999999773, -3.6499999999999773, 0.2400000000000091, 1, 1, 2, 1, 97196]","[-1589674843, -1589624036, 0, -1.0, 67, 11, 1, -1.7899999999999636, -4.039999999999964, -0.14999999999997726, 0, 0, 0, 0, 86398]","[-1589674843, -1589624036, 0, -1.0, 67, 11, 1, -1.7899999999999636, -4.039999999999964, -0.14999999999997726, 0, 0, 0, 0, 75598]","[-1589674843, -1589624036, 1, -1.6099999999999999, 39, 11, 1, -1.9599999999999795, -4.2099999999999795, -0.3199999999999932, 0, 0, 0, 0, 64799]","[-1589674843, -1589624036, 32, -1.5899999999999999, 75, 10, 1, -0.6899999999999977, -2.9399999999999977, 0.14999999999997726, 1, 1, 2, 1, 21598]","[-1589674843, -1589624036, 27, -1.5899999999999999, 75, 4, 1, 0.160000000000025, -2.089999999999975, 0.14999999999997726, 1, 1, 2, 1, 10799]","[-1589674843, -1589624036, 19, 0.08999999999999986, 3, 6, 0, -0.2699999999999818, -2.519999999999982, 0.8100000000000023, 1, 1, 1, 1, -1]"
5eba42b80923c58fcff1373b,"[-1589674843, -1589624036, -1, 0.6200000000000001, 116, 7, 1, -2.3000000000000114, -4.550000000000011, -0.660000000000025, 0, 0, 0, 0, 421200]","[-1589674843, -1589624036, 26, 1.3599999999999999, 129, 5, 0, -1.670000000000016, -3.920000000000016, -0.03000000000002956, 1, 1, 2, 1, 410401]","[-1589674843, -1589624036, 26, 1.3599999999999999, 129, 5, 0, -1.670000000000016, -3.920000000000016, -0.03000000000002956, 1, 1, 2, 1, 399601]","[-1589674843, -1589624036, -1, 1.2000000000000002, 120, 3, 0, -1.9099999999999682, -4.159999999999968, -0.2699999999999818, 0, 0, 0, 0, 388801]","[-1589674843, -1589624036, -1, 1.2000000000000002, 120, 3, 0, -1.9099999999999682, -4.159999999999968, -0.2699999999999818, 0, 0, 0, 0, 378001]","[-1589674843, -1589624036, 71, -0.029999999999999805, 130, 5, -1, -1.3100000000000023, -3.5600000000000023, 0.3299999999999841, 1, 1, 3, 1, 367201]","[-1589674843, -1589624036, 71, -0.029999999999999805, 130, 5, -1, -1.3100000000000023, -3.5600000000000023, 0.3299999999999841, 1, 1, 3, 1, 356401]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -1.9300000000000068, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 354705]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -1.9300000000000068, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 345601]","[-1589674843, -1589624036, 94, 0.41000000000000014, 123, 8, -1, -1.9300000000000068, -4.180000000000007, -0.29000000000002046, 1, 1, 4, 1, 334801]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -0.8899999999999864, -3.1399999999999864, 0.75, 1, 1, 3, 1, 324000]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -0.8899999999999864, -3.1399999999999864, 0.75, 1, 1, 3, 1, 317221]","[-1589674843, -1589624036, 81, -0.3699999999999999, 78, 11, -1, -0.8899999999999864, -3.1399999999999864, 0.75, 1, 1, 3, 1, 313621]","[-1589674843, -1589624036, 82, -0.7999999999999998, 106, 8, -2, -1.089999999999975, -3.339999999999975, 0.5500000000000114, 1, 1, -300, 1, 302401]","[-1589674843, -1589624036, 82, -0.7999999999999998, 106, 8, -2, -1.089999999999975, -3.339999999999975, 0.5500000000000114, 1, 1, -300, 1, 291600]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 282179]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 280801]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 278999]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 275397]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 272056]","[-1589674843, -1589624036, 55, -0.27, 145, 4, -2, -1.329999999999984, -3.579999999999984, 0.3100000000000023, 1, 1, -300, 1, 270001]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 268197]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 264599]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 260999]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 259201]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 257399]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 253799]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 250199]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 248400]","[-1589674843, -1589624036, -1, 0.07000000000000028, 120, -2, -2, -1.3799999999999955, -3.6299999999999955, 0.2599999999999909, 0, 0, 0, 0, 246599]","[-1589674843, -1589624036, 13, -0.5499999999999998, 89, -2, -1, -1.1200000000000045, -3.3700000000000045, 0.5199999999999818, 1, 1, 1, 1, 243000]","[-1589674843, -1589624036, 13, -0.5499999999999998, 89, -2, -1, -1.1200000000000045, -3.3700000000000045, 0.5199999999999818, 1, 1, 1, 1, 237599]","[-1589674843, -1589624036, 28, -0.8299999999999998, 172, 9, 0, -1.6599999999999682, -3.909999999999968, -0.01999999999998181, 1, 1, 2, 1, 140400]","[-1589674843, -1589624036, 21, 0.010000000000000231, 125, 10, 0, -1.3700000000000045, -3.6200000000000045, 0.2699999999999818, 1, 1, 1, 1, 118799]","[-1589674843, -1589624036, 26, -1.1199999999999999, 131, 10, 1, -1.3999999999999773, -3.6499999999999773, 0.2400000000000091, 1, 1, 2, 1, 107999]","[-1589674843, -1589624036, 26, -1.1199999999999999, 131, 10, 1, -1.3999999999999773, -3.6499999999999773, 0.2400000000000091, 1, 1, 2, 1, 97196]","[-1589674843, -1589624036, 0, -1.0, 67, 11, 1, -1.7899999999999636, -4.039999999999964, -0.14999999999997726, 0, 0, 0, 0, 86399]","[-1589674843, -1589624036, 0, -1.0, 67, 11, 1, -1.7899999999999636, -4.039999999999964, -0.14999999999997726, 0, 0, 0, 0, 75599]","[-1589674843, -1589624036, 1, -1.6099999999999999, 39, 11, 1, -1.9599999999999795, -4.2099999999999795, -0.3199999999999932, 0, 0, 0, 0, 64799]","[-1589674843, -1589624036, 32, -1.5899999999999999, 75, 10, 1, -0.6899999999999977, -2.9399999999999977, 0.14999999999997726, 1, 1, 2, 1, 21599]","[-1589674843, -1589624036, 27, -1.5899999999999999, 75, 4, 1, 0.160000000000025, -2.089999999999975, 0.14999999999997726, 1, 1, 2, 1, 10799]","[-1589674843, -1589624036, 19, 0.08999999999999986, 3, 6, 0, -0.2699999999999818, -2.519999999999982, 0.8100000000000023, 1, 1, 1, 1, 0]"
